<UNK> 1.0	SPN
CƯỚC 1.0	K WA KC
NHE 1.0	NH E
NIỀNG 1.0	N IE NGZ
LẤP 1.0	L AA PC
THỐN 1.0	TH OO NZ
MÁT 1.0	M A TC
CƯ 1.0	K UW
SẮM 1.0	S AW MZ
TỶ 1.0	T I
TẺ 1.0	T E
NGU 1.0	NG U
DẠO 1.0	D A UZ
BẬY 1.0	B AA IZ
DÀN 1.0	D A NZ
SÚNG 1.0	S U NGZ
GÃI 1.0	G A IZ
ỔI 1.0	OO IZ
BẦN 1.0	B AA NZ
LỌT 1.0	L O TC
THÁO 1.0	TH A UZ
GUỐC 1.0	G UO KC
ÁI 1.0	A IZ
RỐNG 1.0	R OO NGZ
KÍ 1.0	K I
OẰN 1.0	W AW NZ
LỔM 1.0	L OO MZ
NHỔM 1.0	NH OO MZ
DỊ 1.0	D I
XỔI 1.0	S OO IZ
ĐỈNH 1.0	DD I NGZ
THỤC 1.0	TH U KC
QUYÊN 1.0	K W IE NZ
NỘP 1.0	N OO PC
LOÀN 1.0	L W A NZ
HỤI 1.0	H U IZ
QUỀNH 1.0	K W EE NGZ
VỢT 1.0	V OW TC
GẠ 1.0	G A
GẪM 1.0	G AA MZ
NẠO 1.0	N A UZ
VÉT 1.0	V E TC
NGỔ 1.0	NG OO
NGÁO 1.0	NG A UZ
UỴCH 1.0	W I KC
CHẠCH 1.0	CH A KC
LUỘC 1.0	L UO KC
THÔ 1.0	TH OO
GỢN 1.0	G OW NZ
TĂN 1.0	T AW NZ
XÔN 1.0	S OO NZ
RỚM 1.0	R OW MZ
ÉO 1.0	E UZ
TRÍCH 1.0	TR I KC
DỒN 1.0	D OO NZ
LIU 1.0	L I UZ
HẤNG 1.0	H AA NGZ
NGƯNG 1.0	NG UW NGZ
TRỆ 1.0	TR EE
TỔN 1.0	T OO NZ
NGỎ 1.0	NG O
NHÕ 1.0	NH O
ÁM 1.0	A MZ
TRẠM 1.0	TR A MZ
VƯỢT 1.0	V WA TC
CÁY 1.0	K A IZ
GHẾ 1.0	G EE
XUA 1.0	S UO
GIẤP 1.0	D AA PC
SI 1.0	S I
HẨM 1.0	H AA MZ
XÁO 1.0	S A UZ
TRỬNG 1.0	TR UW NGZ
GIỠN 1.0	D OW NZ
TÃI 1.0	T A IZ
MAU 1.0	M A UZ
NHÙNG 1.0	NH U NGZ
MẠO 1.0	M A UZ
LÃ 1.0	L A
CHÃ 1.0	CH A
CHẮP 1.0	CH AW PC
NHĨ 1.0	NH I
THĂNG 1.0	TH AW NGZ
PA 1.0	P A
NHÔNG 1.0	NH OO NGZ
BỚT 1.0	B OW TC
BƯỚNG 1.0	B WA NGZ
BỈNH 1.0	B I NGZ
VÃNH 1.0	V A NGZ
TRÁ 1.0	TR A
TRÔI 1.0	TR OO IZ
ĐỖI 1.0	DD OO IZ
HÃI 1.0	H A IZ
THUI 1.0	TH U IZ
BỆCH 1.0	B EE KC
TẠCH 1.0	T A KC
TỌC 1.0	T O KC
TẬM 1.0	T AA MZ
NGỌNG 1.0	NG O NGZ
KHỨU 1.0	KH UW UZ
HỔ 1.0	H OO
TÁI 1.0	T A IZ
NẠP 1.0	N A PC
TƯỚI 1.0	T WA IZ
DỐT 1.0	D OO TC
MẾCH 1.0	M EE KC
THỦNG 1.0	TH U NGZ
BẾT 1.0	B EE TC
GIĂM 1.0	D AW MZ
MÌ 1.0	M I
KẸP 1.0	K E PC
VÕNG 1.0	V O NGZ
KẼO 1.0	K E UZ
PHẦM 1.0	PH AA MZ
NẦY 1.0	N AA IZ
Ã 1.0	A
NỐ 1.0	N OO
VÂNG 1.0	V AA NGZ
VẤT 1.0	V AA TC
BỆU 1.0	B EE UZ
HÔN 1.0	H OO NZ
MẮN 1.0	M AW NZ
SƠM 1.0	S OW MZ
MỊT 1.0	M I TC
MIÊN 1.0	M IE NZ
BẬP 1.0	B AA PC
BẸ 1.0	B E
RỰA 1.0	R WA
RIU 1.0	R I UZ
RÍU 1.0	R I UZ
KÈN 1.0	K E NZ
RÃY 1.0	R A IZ
KHỐC 1.0	KH OO KC
QUEN 1.0	K W E NZ
MẠY 1.0	M A IZ
ĐUỐI 1.0	DD UO IZ
SỐC 1.0	S OO KC
BIỆN 1.0	B IE NZ
THẾP 1.0	TH EE PC
HÁO 1.0	H A UZ
HỨC 1.0	H UW KC
LỦ 1.0	L U
ĐẲNG 1.0	DD AW NGZ
HỘN 1.0	H OO NZ
VỊT 1.0	V I TC
XÉ 1.0	S E
VỤN 1.0	V U NZ
TÃ 1.0	T A
KIỂNG 1.0	K IE NGZ
QUẾ 1.0	K W EE
NÓN 1.0	N O NZ
QUÁT 1.0	K W A TC
HÊN 1.0	H EE NZ
XUI 1.0	S U IZ
TRẠC 1.0	TR A KC
VÙN 1.0	V U NZ
HỄ 1.0	H EE
QUỸ 1.0	K W I
LOAN 1.0	L W A NZ
GIỤC 1.0	D U KC
NGẦM 1.0	NG AA MZ
LUNG 1.0	L U NGZ
NHỒI 1.0	NH OO IZ
NHÉT 1.0	NH E TC
VẠ 1.0	V A
GIÀN 1.0	D A NZ
BẠI 1.0	B A IZ
ĐĨA 1.0	DD IE
TƯƠM 1.0	T WA MZ
CHỌI 1.0	CH O IZ
HOI 1.0	H O IZ
LỘI 1.0	L OO IZ
KO 1.0	K O
CỰA 1.0	K WA
LẢM 1.0	L A MZ
SỔ 1.0	S OO
PHẠNG 1.0	PH A NGZ
RÁP 1.0	R A PC
TỌP 1.0	T O PC
MỒ 1.0	M OO
KÊ 1.0	K EE
RÒNG 1.0	R O NGZ
LÊU 1.0	L EE UZ
LỔNG 1.0	L OO NGZ
TRAU 1.0	TR A UZ
CHUỐT 1.0	CH UO TC
RẢNH 1.0	R A NGZ
RỖI 1.0	R OO IZ
MỦ 1.0	M U
MỈ 1.0	M I
VẢY 1.0	V A IZ
XẢ 1.0	S A
XUM 1.0	S U MZ
RÃ 1.0	R A
RỜI 1.0	R OW IZ
RỮA 1.0	R WA
KHOÁT 1.0	KH W A TC
RẦN 1.0	R AA NZ
BÂNG 1.0	B AA NGZ
KHUÂNG 1.0	KH W AA NGZ
GIÀNH 1.0	D A NGZ
GỤC 1.0	G U KC
SỜM 1.0	S OW MZ
SỠ 1.0	S OW
NGÁP 1.0	NG A PC
XẾ 1.0	S EE
KHÁP 1.0	KH A PC
DÓC 1.0	D O KC
LƯỢT 1.0	L WA TC
NHẢ 1.0	NH A
NGẮC 1.0	NG AW KC
NGỨ 1.0	NG UW
DỖI 1.0	D OO IZ
BẾN 1.0	B EE NZ
NGHÉ 1.0	NG E
QUÀNG 1.0	K W A NGZ
RAM 1.0	R A MZ
NHÃN 1.0	NH A NZ
TẢN 1.0	T A NZ
PHÍCH 1.0	PH I KC
CHẸP 1.0	CH E PC
THÌU 1.0	TH I UZ
LỰU 1.0	L UW UZ
HỂNH 1.0	H EE NGZ
XÀNG 1.0	S A NGZ
XÊ 1.0	S EE
GIĂNG 1.0	D AW NGZ
RẬN 1.0	R AA NZ
TÒA 1.0	T W A
BẤC 1.0	B AA KC
AO 1.0	A UZ
LI 1.0	L I
TI 1.0	T I
TỂ 1.0	T EE
XẢO 1.0	S A UZ
QUYỆT 1.0	K W IE TC
LỪA 1.0	L WA
GẠT 1.0	G A TC
HẠNG 1.0	H A NGZ
BÉT 1.0	B E TC
RIỆT 1.0	R IE TC
ỦN 1.0	U NZ
ỈN 1.0	I NZ
TUỆ 1.0	T W EE
Ư 1.0	UW
NỒI 1.0	N OO IZ
LÍU 1.0	L I UZ
LOẢNG 1.0	L W A NGZ
XOẢNG 1.0	S W A NGZ
MỌNG 1.0	M O NGZ
TEM 1.0	T E MZ
GÁY 1.0	G A IZ
CƯỜM 1.0	K WA MZ
KHOAN 1.0	KH W A NZ
TRỒI 1.0	TR OO IZ
TRỤT 1.0	TR U TC
CHỐC 1.0	CH OO KC
SẢNH 1.0	S A NGZ
XĂM 1.0	S AW MZ
KIỆU 1.0	K IE UZ
VƯƠN 1.0	V WA NZ
GẠO 1.0	G A UZ
NHỦN 1.0	NH U NZ
CỐT 1.0	K OO TC
THÈO 1.0	TH E UZ
KẸO 1.0	K E UZ
LÈO 1.0	L E UZ
SƯỜNG 1.0	S WA NGZ
HÂN 1.0	H AA NZ
ĐẤM 1.0	DD AA MZ
THÙM 1.0	TH U MZ
THỤP 1.0	TH U PC
DẪM 1.0	D AA MZ
THIỀM 1.0	TH IE MZ
TRẦN 1.0	TR AA NZ
DƯA 1.0	D WA
LỤT 1.0	L U TC
CHÓE 1.0	CH W E
KIỀNG 1.0	K IE NGZ
THUN 1.0	TH U NZ
RUN 1.0	R U NZ
VỆT 1.0	V EE TC
BỒ 1.0	B OO
HÓNG 1.0	H O NGZ
CUỘI 1.0	K UO IZ
QUÝT 1.0	K W I TC
KEN 1.0	K E NZ
BINH 1.0	B I NGZ
CÔI 1.0	K OO IZ
RẤP 1.0	R AA PC
THẤM 1.0	TH AA MZ
XOANG 1.0	S W A NGZ
TRIỀN 1.0	TR IE NZ
BỈU 1.0	B I UZ
NIA 1.0	N IE
TRỤI 1.0	TR U IZ
ĐÚM 1.0	DD U MZ
KHẲM 1.0	KH AW MZ
LẶM 1.0	L AW MZ
BI 1.0	B I
HÚNG 1.0	H U NGZ
HẮNG 1.0	H AW NGZ
HO 1.0	H O
MỀ 1.0	M EE
ĐAY 1.0	DD A IZ
RỐT 1.0	R OO TC
LÔI 1.0	L OO IZ
BỤT 1.0	B U TC
NGHÌN 1.0	NG I NZ
CÁM 1.0	K A MZ
KÌA 1.0	K IE
QUÁNG 1.0	K W A NGZ
GỒM 1.0	G OO MZ
NGÚT 1.0	NG U TC
MỆNH 1.0	M EE NGZ
NHĂN 1.0	NH AW NZ
NÁN 1.0	N A NZ
NEO 1.0	N E UZ
DƯỢT 1.0	D WA TC
THẮN 1.0	TH AW NZ
RỘC 1.0	R OO KC
XĂNG 1.0	S AW NGZ
VỚT 1.0	V OW TC
SỨA 1.0	S WA
CỦ 1.0	K U
RỐP 1.0	R OO PC
NHAN 1.0	NH A NZ
NGOAN 1.0	NG W A NZ
CHUỘNG 1.0	CH UO NGZ
RỐN 1.0	R OO NZ
TIỄN 1.0	T IE NZ
LƯƠN 1.0	L WA NZ
TRÉM 1.0	TR E MZ
BẮN 1.0	B AW NZ
XÌ 1.0	S I
PHẾ 1.0	PH EE
CHÒNG 1.0	CH O NGZ
CHỌC 1.0	CH O KC
RỦNG 1.0	R U NGZ
RỈNH 1.0	R I NGZ
CHAO 1.0	CH A UZ
ĐAN 1.0	DD A NZ
NHUẦN 1.0	NH W AA NZ
NHUYỄN 1.0	NH W IE NZ
OAN 1.0	W A NZ
KHIÊN 1.0	KH IE NZ
CẦY 1.0	K AA IZ
HÌ 1.0	H I
HỤC 1.0	H U KC
RƯỚM 1.0	R WA MZ
PHỒM 1.0	PH OO MZ
HỔNG 1.0	H OO NGZ
RÀNG 1.0	R A NGZ
CÁNG 1.0	K A NGZ
BỊN 1.0	B I NZ
RỊN 1.0	R I NZ
SƯỢT 1.0	S WA TC
THINH 1.0	TH I NGZ
MÁCH 1.0	M A KC
KHÚM 1.0	KH U MZ
HÀU 1.0	H A UZ
TÂN 1.0	T AA NZ
KHÁNH 1.0	KH A NGZ
PHÍM 1.0	PH I MZ
CÚT 1.0	K U TC
PHÈ 1.0	PH E
PHỠN 1.0	PH OW NZ
THƯỠI 1.0	TH WA IZ
HẦY 1.0	H AA IZ
XỤC 1.0	S U KC
THỪNG 1.0	TH UW NGZ
XẠC 1.0	S A KC
PIN 1.0	P I NZ
RÓC 1.0	R O KC
KÉP 1.0	K E PC
CÁN 1.0	K A NZ
MUỖM 1.0	M UO MZ
ĐÚT 1.0	DD U TC
XẤU 1.0	S AA UZ
ĐIẾM 1.0	DD IE MZ
ĐẬY 1.0	DD AA IZ
ĐIỆM 1.0	DD IE MZ
HA 1.0	H A
BÀNG 1.0	B A NGZ
GHẸ 1.0	G E
THÒNG 1.0	TH O NGZ
LỌNG 1.0	L O NGZ
MÒNG 1.0	M O NGZ
PÍ 1.0	P I
LÙ 1.0	L U
NHÒE 1.0	NH W E
MÍ 1.0	M I
VẾCH 1.0	V EE KC
ĐÁO 1.0	DD A UZ
XÒA 1.0	S W A
CHÙ 1.0	CH U
Ụ 1.0	U
GIỄU 1.0	G IE UZ
CỢT 1.0	K OW TC
TRÀO 1.0	TR A UZ
XẮC 1.0	S AW KC
PHĨNH 1.0	PH I NGZ
MÚP 1.0	M U PC
MÍP 1.0	M I PC
HOÉT 1.0	H W E TC
NÔI 1.0	N OO IZ
NHÀNG 1.0	NH A NGZ
QUẪY 1.0	K W AA IZ
DÕNG 1.0	D O NGZ
DẠC 1.0	D A KC
CHOÀNG 1.0	CH W A NGZ
TÒE 1.0	T W E
LẾT 1.0	L EE TC
CỰU 1.0	K UW UZ
CHÈO 1.0	CH E UZ
LIA 1.0	L IE
THIA 1.0	TH IE
KHÊ 1.0	KH EE
TRÁO 1.0	TR A UZ
BẶT 1.0	B AW TC
TĂM 1.0	T AW MZ
SỜ 1.0	S OW
SOẠNG 1.0	S W A NGZ
RỢN 1.0	R OW NZ
CHENG 1.0	CH E NGZ
KỀ 1.0	K EE
XUÔI 1.0	S UO IZ
ĐỀNH 1.0	DD EE NGZ
BỰC 1.0	B UW KC
GAO 1.0	G A UZ
LIN 1.0	L I NZ
NƯỚNG 1.0	N WA NGZ
THÊ 1.0	TH EE
ĐÉO 1.0	DD E UZ
TIẾU 1.0	T IE UZ
KHỐN 1.0	KH OO NZ
CẨN 1.0	K AA NZ
KẺO 1.0	K E UZ
TRƯỢT 1.0	TR WA TC
NHỰT 1.0	NH UW TC
THUỶ 1.0	TH W I
SỒN 1.0	S OO NZ
BÃ 1.0	B A
ĐỒN 1.0	DD OO NZ
NẤY 1.0	N AA IZ
KÈO 1.0	K E UZ
KEO 1.0	K E UZ
KIỆT 1.0	K IE TC
THẰN 1.0	TH AW NZ
LẰN 1.0	L AW NZ
CẮN 1.0	K AW NZ
ĐỨT 1.0	DD UW TC
LƯỜNG 1.0	L WA NGZ
LỆNH 1.0	L EE NGZ
NGOẮC 1.0	NG W AW KC
BUỒNG 1.0	B UO NGZ
ÚT 1.0	U TC
THỈ 1.0	TH I
CHỮNG 1.0	CH UW NGZ
THƯỢC 1.0	TH WA KC
PHẲNG 1.0	PH AW NGZ
BÚP 1.0	B U PC
XƠI 1.0	S OW IZ
NGUỒI 1.0	NG UO IZ
ẾCH 1.0	EE KC
NHỊN 1.0	NH I NZ
NGỐC 1.0	NG OO KC
TRÀN 1.0	TR A NZ
XOẮN 1.0	S W AW NZ
LƯỚNG 1.0	L WA NGZ
HỚT 1.0	H OW TC
CƠI 1.0	K OW IZ
NỚI 1.0	N OW IZ
HỎM 1.0	H O MZ
LIÊNG 1.0	L IE NGZ
SÔI 1.0	S OO IZ
XỤI 1.0	S U IZ
BỤC 1.0	B U KC
RỨC 1.0	R UW KC
NGỚN 1.0	NG OW NZ
PHỈNH 1.0	PH I NGZ
LẺNG 1.0	L E NGZ
RẸT 1.0	R E TC
VẦY 1.0	V AA IZ
NỨT 1.0	N UW TC
NẺ 1.0	N E
LỠM 1.0	L OW MZ
HỌNG 1.0	H O NGZ
GÀO 1.0	G A UZ
Í 1.0	I
ỚI 1.0	OW IZ
NHÔ 1.0	NH OO
GÓI 1.0	G O IZ
GHÉM 1.0	G E MZ
QUÝNH 1.0	K W I NGZ
CHỀNH 1.0	CH EE NGZ
ỀNH 1.0	EE NGZ
NÚT 1.0	N U TC
TRÌ 1.0	TR I
BẢNG 1.0	B A NGZ
GAY 1.0	G A IZ
GẮT 1.0	G AW TC
MUÔN 1.0	M UO NZ
THẪM 1.0	TH AA MZ
QUẾT 1.0	K W EE TC
CHỨA 1.0	CH WA
BE 1.0	B E
DẠM 1.0	D A MZ
BẼN 1.0	B E NZ
LẼN 1.0	L E NZ
ÓE 1.0	W E
GỔ 1.0	G OO
Ì 1.0	I
XÈO 1.0	S E UZ
TRẶC 1.0	TR AW KC
DỬ 1.0	D UW
GHÈN 1.0	G E NZ
VÁNH 1.0	V A NGZ
TRƯỠNG 1.0	TR WA NGZ
TRỄ 1.0	TR EE
CỌN 1.0	K O NZ
RÊU 1.0	R EE UZ
GIUA 1.0	D UO
TÝ 1.0	T I
NHÓT 1.0	NH O TC
NHI 1.0	NH I
DẤN 1.0	D AA NZ
MỤP 1.0	M U PC
SỊT 1.0	S I TC
LOÉ 1.0	L W E
MẸT 1.0	M E TC
NGƯA 1.0	NG WA
NGỨA 1.0	NG WA
VẸO 1.0	V E UZ
NHƯỜNG 1.0	NH WA NGZ
NHUỘM 1.0	NH UO MZ
BỠ 1.0	B OW
NGỠ 1.0	NG OW
MIẾNG 1.0	M IE NGZ
VỮNG 1.0	V UW NGZ
VĂNG 1.0	V AW NGZ
TÓE 1.0	T W E
NÈ 1.0	N E
NHẠNH 1.0	NH A NGZ
SÚC 1.0	S U KC
NGẦY 1.0	NG AA IZ
NGÀ 1.0	NG A
TOÁI 1.0	T W A IZ
CHÉ 1.0	CH E
CHŨN 1.0	CH U NZ
CHĨN 1.0	CH I NZ
KHÉN 1.0	KH E NZ
CUÔNG 1.0	K UO NGZ
SỒI 1.0	S OO IZ
U 1.0	U
PHƯỚC 1.0	PH WA KC
CHÁNH 1.0	CH A NGZ
RẠNG 1.0	R A NGZ
RỠ 1.0	R OW
NHẺM 1.0	NH E MZ
ỎNG 1.0	O NGZ
ĐÍT 1.0	DD I TC
ỦI 1.0	U IZ
CẤM 1.0	K AA MZ
TRI 1.0	TR I
ĐẠCH 1.0	DD A KC
GHÉ 1.0	G E
NGOÁY 1.0	NG W A IZ
KHỊT 1.0	KH I TC
NÚP 1.0	N U PC
DẾ 1.0	D EE
MÈN 1.0	M E NZ
OÁCH 1.0	W A KC
LỀ 1.0	L EE
BÓC 1.0	B O KC
DỞ 1.0	D OW
MỒM 1.0	M OO MZ
NHÃI 1.0	NH A IZ
ĐIẾC 1.0	DD IE KC
PHÀN 1.0	PH A NZ
LÁO 1.0	L A UZ
PHÂY 1.0	PH AA IZ
MUỖI 1.0	M UO IZ
MUỐT 1.0	M UO TC
NHỆU 1.0	NH EE UZ
NHẠO 1.0	NH A UZ
SẢNG 1.0	S A NGZ
THẠCH 1.0	TH A KC
É 1.0	E
TẤP 1.0	T AA PC
NẬP 1.0	N AA PC
NAN 1.0	N A NZ
BỊT 1.0	B I TC
LÁC 1.0	L A KC
BỢM 1.0	B OW MZ
THÕNG 1.0	TH O NGZ
HÁ 1.0	H A
LẸM 1.0	L E MZ
ÈO 1.0	E UZ
UỘT 1.0	UO TC
GÔ 1.0	G OO
VẲNG 1.0	V AW NGZ
HÚ 1.0	H U
KỈ 1.0	K I
PHĂNG 1.0	PH AW NGZ
PHẮC 1.0	PH AW KC
KHẲNG 1.0	KH AW NGZ
GỈ 1.0	G I
SẦN 1.0	S AA NZ
SÙI 1.0	S U IZ
HẢM 1.0	H A MZ
ĐỌ 1.0	DD O
CẤT 1.0	K AA TC
ẢM 1.0	A MZ
KHOÈO 1.0	KH W E UZ
TIÊM 1.0	T IE MZ
DẠI 1.0	D A IZ
MÁC 1.0	M A KC
ỆCH 1.0	EE KC
DOÃN 1.0	D W A NZ
THÒI 1.0	TH O IZ
LỐM 1.0	L OO MZ
ĐỐM 1.0	DD OO MZ
CHỬI 1.0	CH UW IZ
XẠ 1.0	S A
XỀNH 1.0	S EE NGZ
XỆCH 1.0	S EE KC
ĐỔNG 1.0	DD OO NGZ
UYỂN 1.0	W IE NZ
CHẤN 1.0	CH AA NZ
BUÝT 1.0	B W I TC
ẬM 1.0	AA MZ
ẠCH 1.0	A KC
Ừ 1.0	UW
NGÂN 1.0	NG AA NZ
CÚI 1.0	K U IZ
THÁN 1.0	TH A NZ
RỠN 1.0	R OW NZ
RIÊU 1.0	R IE UZ
THẨM 1.0	TH AA MZ
DỎNG 1.0	D O NGZ
NÍN 1.0	N I NZ
KHƯ 1.0	KH UW
LỜ 1.0	L OW
THÈM 1.0	TH E MZ
VUNG 1.0	V U NGZ
NHOEN 1.0	NH W E NZ
VAN 1.0	V A NZ
VÁT 1.0	V A TC
MÌN 1.0	M I NZ
QUẦNG 1.0	K W AA NGZ
SƯNG 1.0	S UW NGZ
CHƠ 1.0	CH OW
TÚT 1.0	T U TC
ỐC 1.0	OO KC
XẨM 1.0	S AA MZ
VUÔNG 1.0	V UO NGZ
TRỌN 1.0	TR O NZ
NHAM 1.0	NH A MZ
NHỞ 1.0	NH OW
NÉO 1.0	N E UZ
TÔNG 1.0	T OO NGZ
QUĂM 1.0	K W AW MZ
MÀO 1.0	M A UZ
DƯNG 1.0	D UW NGZ
CHŨI 1.0	CH U IZ
THẬP 1.0	TH AA PC
SỌM 1.0	S O MZ
SẸM 1.0	S E MZ
LŨNG 1.0	L U NGZ
TỒN 1.0	T OO NZ
SONG 1.0	S O NGZ
BƯỞI 1.0	B WA IZ
BUNG 1.0	B U NGZ
CHƯNG 1.0	CH UW NGZ
RƯƠI 1.0	R WA IZ
RẬT 1.0	R AA TC
LỤA 1.0	L W A
DẸT 1.0	D E TC
NGOẶC 1.0	NG W AW KC
GIẰM 1.0	D AW MZ
MUỘN 1.0	M UO NZ
NUÔNG 1.0	N UO NGZ
ƯNG 1.0	UW NGZ
PHO 1.0	PH O
LÒM 1.0	L O MZ
BÔI 1.0	B OO IZ
NGOANG 1.0	NG W A NGZ
NGHẾCH 1.0	NG EE KC
XOI 1.0	S O IZ
MÓI 1.0	M O IZ
SỂNH 1.0	S EE NGZ
TUỐT 1.0	T UO TC
GẬP 1.0	G AA PC
XOAY 1.0	S W A IZ
NHẤP 1.0	NH AA PC
NGÀO 1.0	NG A UZ
TRẾCH 1.0	TR EE KC
HỨA 1.0	H WA
PHẢY 1.0	PH A IZ
NGÀNG 1.0	NG A NGZ
THẮP 1.0	TH AW PC
NHANG 1.0	NH A NGZ
KHOE 1.0	KH W E
KHOANG 1.0	KH W A NGZ
QUỆ 1.0	K W EE
GÚ 1.0	G U
TÁ 1.0	T A
NÃY 1.0	N A IZ
NGẮM 1.0	NG AW MZ
LẨM 1.0	L AA MZ
XỎ 1.0	S O
ĐINH 1.0	DD I NGZ
QUẶM 1.0	K W AW MZ
BÚA 1.0	B W A
NĨA 1.0	N IE
ÚA 1.0	W A
RE 1.0	R E
MẢNG 1.0	M A NGZ
DÁN 1.0	D A NZ
LƯỢM 1.0	L WA MZ
MÓT 1.0	M O TC
GIÉ 1.0	D E
NGỢP 1.0	NG OW PC
ĐOÀI 1.0	DD W A IZ
HÉO 1.0	H E UZ
RỐC 1.0	R OO KC
VỤNG 1.0	V U NGZ
BỘC 1.0	B OO KC
TUỆCH 1.0	T W EE KC
CÚNG 1.0	K U NGZ
MỤ 1.0	M U
ỎI 1.0	O IZ
LÌM 1.0	L I MZ
QUÁC 1.0	K W A KC
MỨT 1.0	M UW TC
Ạ 1.0	A
THÉT 1.0	TH E TC
CHÓI 1.0	CH O IZ
DIỆU 1.0	D IE UZ
CÚM 1.0	K U MZ
BÙA 1.0	B W A
QUỶ 1.0	K W I
LIỄU 1.0	L IE UZ
KHÁI 1.0	KH A IZ
ĐOẠT 1.0	DD W A TC
RÉT 1.0	R E TC
CÓNG 1.0	K O NGZ
BỜM 1.0	B OW MZ
NGẤY 1.0	NG AA IZ
TRÀI 1.0	TR A IZ
CÙ 1.0	K U
NÈO 1.0	N E UZ
NÌNH 1.0	N I NGZ
NỊCH 1.0	N I KC
NHÒM 1.0	NH O MZ
TRẶN 1.0	TR AW NZ
TỎA 1.0	T W A
HUÝT 1.0	H W I TC
VẰN 1.0	V AW NZ
VỆN 1.0	V EE NZ
XỔ 1.0	S OO
TOẸT 1.0	T W E TC
CỌNG 1.0	K O NGZ
CHIÊM 1.0	CH IE MZ
GIẦN 1.0	D AA NZ
NGÒI 1.0	NG O IZ
RỆT 1.0	R EE TC
NUỐI 1.0	N UO IZ
MÙNG 1.0	M U NGZ
PHÈN 1.0	PH E NZ
NHO 1.0	NH O
CỪ 1.0	K UW
TIẾM 1.0	T IE MZ
NGỔM 1.0	NG OO MZ
KHƯƠNG 1.0	KH WA NGZ
ĐUỘT 1.0	DD UO TC
RÀY 1.0	R A IZ
DIÊU 1.0	D IE UZ
MIÊU 1.0	M IE UZ
THOA 1.0	TH W A
OANH 1.0	W A NGZ
GÀN 1.0	G A NZ
ĐÒNG 1.0	DD O NGZ
TRÕN 1.0	TR O NZ
XÔI 1.0	S OO IZ
QUÂY 1.0	K W AA IZ
YẾM 1.0	IE MZ
MỚ 1.0	M OW
NGÂM 1.0	NG AA MZ
LẲM 1.0	L AW MZ
SOẠN 1.0	S W A NZ
VẮT 1.0	V AW TC
MÚN 1.0	M U NZ
RỜN 1.0	R OW NZ
LƯỢC 1.0	L WA KC
HỔN 1.0	H OO NZ
HỂN 1.0	H EE NZ
REN 1.0	R E NZ
RUA 1.0	R UO
KỀN 1.0	K EE NZ
HỔM 1.0	H OO MZ
QUẠC 1.0	K W A KC
TRÚM 1.0	TR U MZ
LŨI 1.0	L U IZ
NHÀI 1.0	NH A IZ
XỈ 1.0	S I
ĐỐN 1.0	DD OO NZ
PHƠN 1.0	PH OW NZ
PHỚT 1.0	PH OW TC
NẾN 1.0	N EE NZ
CHIÊU 1.0	CH IE UZ
HẠM 1.0	H A MZ
HƯỜNG 1.0	H WA NGZ
NGẢNH 1.0	NG A NGZ
MÉO 1.0	M E UZ
XẸO 1.0	S E UZ
GỢT 1.0	G OW TC
ĐẾ 1.0	DD EE
RAY 1.0	R A IZ
HOÃN 1.0	H W A NZ
RẾT 1.0	R EE TC
PHƠI 1.0	PH OW IZ
LỨC 1.0	L UW KC
TRÚT 1.0	TR U TC
HUYÊN 1.0	H W IE NZ
LÀU 1.0	L A UZ
THIẾC 1.0	TH IE KC
BỨT 1.0	B UW TC
CHÉO 1.0	CH E UZ
CHẸO 1.0	CH E UZ
CHÙM 1.0	CH U MZ
PHƯỚN 1.0	PH WA NZ
PHÌNH 1.0	PH I NGZ
NGOẮT 1.0	NG W AW TC
CHỬA 1.0	CH WA
HÒ 1.0	H O
HIỆP 1.0	H IE PC
TRẢU 1.0	TR A UZ
QUẬN 1.0	K W AA NZ
NỊNH 1.0	N I NGZ
NỌT 1.0	N O TC
ĐÃNG 1.0	DD A NGZ
NGOAY 1.0	NG W A IZ
HẤT 1.0	H AA TC
TRÁT 1.0	TR A TC
TRỎ 1.0	TR O
SẾP 1.0	S EE PC
QUÀI 1.0	K W A IZ
XÂU 1.0	S AA UZ
TÉT 1.0	T E TC
NHĂM 1.0	NH AW MZ
KÌM 1.0	K I MZ
TRIẾT 1.0	TR IE TC
NIN 1.0	N I NZ
GIÁP 1.0	D A PC
MÚI 1.0	M U IZ
BỖ 1.0	B OO
MÍU 1.0	M I UZ
QUÈ 1.0	K W E
QUẶT 1.0	K W AW TC
LIẾM 1.0	L IE MZ
QUỜN 1.0	K W OW NZ
SẠP 1.0	S A PC
NHỢT 1.0	NH OW TC
XỐI 1.0	S OO IZ
MĂNG 1.0	M AW NGZ
DẦM 1.0	D AA MZ
TỦY 1.0	T W I
CHUỐC 1.0	CH UO KC
NHỆN 1.0	NH EE NZ
TÚM 1.0	T U MZ
THO 1.0	TH O
GHÌM 1.0	G I MZ
KIỆM 1.0	K IE MZ
LẢNG 1.0	L A NGZ
VẢNG 1.0	V A NGZ
TẾU 1.0	T EE UZ
PHAO 1.0	PH A UZ
TƠI 1.0	T OW IZ
RI 1.0	R I
MÉN 1.0	M E NZ
KHÂU 1.0	KH AA UZ
NHÚNG 1.0	NH U NGZ
CHÀNH 1.0	CH A NGZ
BÀNH 1.0	B A NGZ
CHẰNG 1.0	CH AW NGZ
